name,value,date
Python,2.67,2006_01_02
Python,3.09,2006_02_01
Python,2.76,2006_03_02
Python,3.04,2006_04_01
Python,3.46,2006_05_01
Python,3.02,2006_06_02
Python,3.07,2006_07_02
Python,3.14,2006_08_02
Python,3.47,2006_09_01
Python,3.64,2006_10_02
Python,3.76,2006_11_01
Python,3.50,2007_00_02
Python,3.57,2007_01_03
Python,3.90,2007_02_03
Python,3.81,2007_03_01
Python,3.78,2007_04_05
Python,3.16,2007_05_02
Python,3.02,2007_06_02
Python,2.75,2007_07_05
Python,3.03,2007_08_02
Python,3.43,2007_09_04
Python,4.23,2007_10_04
Python,4.70,2007_11_03
Python,5.54,2008_00_03
Python,4.76,2008_01_07
Python,4.90,2008_05_01
Python,4.97,2008_06_02
Python,4.98,2008_07_03
Python,5.01,2008_08_03
Python,4.56,2008_09_06
Python,5.14,2008_10_02
Python,4.17,2008_11_03
Python,4.73,2009_00_02
Python,4.57,2009_01_01
Python,5.18,2009_02_05
Python,6.08,2009_03_07
Python,5.55,2009_04_01
Python,4.76,2009_05_04
Python,4.43,2009_06_02
Python,4.49,2009_07_01
Python,3.93,2009_08_05
Python,3.90,2009_09_02
Python,4.67,2009_10_02
Python,5.19,2009_11_02
Python,4.45,2010_00_05
Python,4.31,2010_01_07
Python,4.23,2010_02_07
Python,4.21,2010_03_05
Python,4.10,2010_04_15
Python,4.22,2010_06_06
Python,4.22,2010_06_30
Python,4.58,2010_08_11
Python,4.86,2010_09_02
Python,5.68,2010_10_03
Python,6.48,2010_11_07
Python,6.26,2011_00_02
Python,7.04,2011_01_08
Python,5.74,2011_02_08
Python,4.93,2011_03_03
Python,4.58,2011_04_02
Python,3.90,2011_05_05
Python,3.90,2011_05_27
Python,3.58,2011_06_08
Python,3.41,2011_07_03
Python,4.00,2011_08_10
Python,3.94,2011_09_09
Python,3.62,2011_10_07
Python,3.49,2011_11_04
Python,3.21,2012_00_08
Python,3.15,2012_01_05
Python,3.29,2012_02_11
Python,3.66,2012_03_08
Python,3.82,2012_04_09
Python,3.85,2012_05_10
Python,4.00,2012_06_04
Python,3.88,2012_07_10
Python,3.86,2012_08_02
Python,3.90,2012_09_05
Python,4.06,2012_10_04
Python,3.85,2012_11_02
Python,4.17,2013_00_05
Python,4.95,2013_01_08
Python,4.39,2013_02_11
Python,4.44,2013_03_07
Python,4.32,2013_04_08
Python,4.18,2013_05_09
Python,4.03,2013_06_07
Python,4.03,2013_06_12
Python,3.60,2013_07_04
Python,3.17,2013_08_11
Python,3.11,2013_09_10
Python,3.11,2013_10_09
Python,2.21,2013_11_06
Python,2.37,2014_00_01
Python,2.16,2014_01_08
Python,2.02,2014_02_03
Python,1.99,2014_03_10
Python,3.06,2014_04_07
Python,2.71,2014_05_08
Python,2.66,2014_06_06
Python,3.12,2014_07_11
Python,2.78,2014_08_01
Python,2.33,2014_09_03
Python,2.59,2014_10_08
Python,2.29,2014_11_07
Python,2.61,2015_00_06
Python,2.88,2015_01_05
Python,2.61,2015_02_07
Python,2.69,2015_03_13
